date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:36:40	41071/41071	---M-Z	200	added ('OK')	text/html	date:Fri,%2005%20Aug%202016%2014:05:20%20GMT	http://www.w3schools.com/bootstrap/bootstrap_ref_js_dropdown.asp	C:/My%20Web%20Sites/bootstrap/www.w3schools.com/bootstrap/bootstrap_ref_js_dropdown.html	(from http://www.w3schools.com/bootstrap/)
19:36:40	42695/42695	---M-Z	200	added ('OK')	text/html	date:Fri,%2005%20Aug%202016%2013:17:00%20GMT	http://www.w3schools.com/bootstrap/bootstrap_ref_js_modal.asp	C:/My%20Web%20Sites/bootstrap/www.w3schools.com/bootstrap/bootstrap_ref_js_modal.html	(from http://www.w3schools.com/bootstrap/)
19:36:41	40444/40444	---M-Z	200	added ('OK')	text/html	date:Fri,%2005%20Aug%202016%2012:47:22%20GMT	http://www.w3schools.com/bootstrap/bootstrap_ref_js_popover.asp	C:/My%20Web%20Sites/bootstrap/www.w3schools.com/bootstrap/bootstrap_ref_js_popover.html	(from http://www.w3schools.com/bootstrap/)
19:36:41	36007/36007	---M-Z	200	added ('OK')	text/html	date:Fri,%2005%20Aug%202016%2013:25:00%20GMT	http://www.w3schools.com/bootstrap/bootstrap_ref_js_scrollspy.asp	C:/My%20Web%20Sites/bootstrap/www.w3schools.com/bootstrap/bootstrap_ref_js_scrollspy.html	(from http://www.w3schools.com/bootstrap/)
19:36:42	34180/34180	---M-Z	200	added ('OK')	text/html	date:Fri,%2005%20Aug%202016%2014:06:30%20GMT	http://www.w3schools.com/bootstrap/bootstrap_ref_js_tab.asp	C:/My%20Web%20Sites/bootstrap/www.w3schools.com/bootstrap/bootstrap_ref_js_tab.html	(from http://www.w3schools.com/bootstrap/)
19:36:43	39661/39661	---M-Z	200	added ('OK')	text/html	date:Fri,%2005%20Aug%202016%2013:07:40%20GMT	http://www.w3schools.com/bootstrap/bootstrap_ref_js_tooltip.asp	C:/My%20Web%20Sites/bootstrap/www.w3schools.com/bootstrap/bootstrap_ref_js_tooltip.html	(from http://www.w3schools.com/bootstrap/)
19:36:45	22631/22631	---M-Z	200	added ('OK')	text/html	date:Fri,%2005%20Aug%202016%2013:51:42%20GMT	http://www.w3schools.com/bootstrap/tryit.asp?filename=trybs_default&stacked=h	C:/My%20Web%20Sites/bootstrap/www.w3schools.com/bootstrap/tryit689b.html	(from http://www.w3schools.com/bootstrap/)
19:36:46	3235/3235	---M--	200	added ('OK')	image/gif	etag:%2296ad478671ecf1:0%22	http://www.w3schools.com/images/colorpicker.gif	C:/My%20Web%20Sites/bootstrap/www.w3schools.com/images/colorpicker.gif	(from http://www.w3schools.com/bootstrap/)
19:36:47	1860/1860	---M--	200	added ('OK')	image/gif	etag:%2221638653cbacf1:0%22	http://www.w3schools.com/images/w3schoolscom_gray.gif	C:/My%20Web%20Sites/bootstrap/www.w3schools.com/images/w3schoolscom_gray.gif	(from http://www.w3schools.com/bootstrap/)
19:36:47	68691/68691	---M--	200	added ('OK')	image/jpeg	etag:%2275d2d2cbd2d11:0%22	http://www.w3schools.com/bootstrap/imgdefault.jpg	C:/My%20Web%20Sites/bootstrap/www.w3schools.com/bootstrap/imgdefault.jpg	(from http://www.w3schools.com/bootstrap/)
19:36:47	30959/30959	---M-Z	200	added ('OK')	application/x-javascript	etag:%22ae6ff36c96bdd11:0%22	http://www.w3schools.com/lib/w3schools_footer.js	C:/My%20Web%20Sites/bootstrap/www.w3schools.com/lib/w3schools_footer.js	(from http://www.w3schools.com/bootstrap/)
19:36:48	9724/9724	---M--	200	added ('OK')	application/octet-stream	etag:%2203417d2c86fd11:0%22	http://www.w3schools.com/lib/fonts/fontawesome.eot?14663396	C:/My%20Web%20Sites/bootstrap/www.w3schools.com/lib/fonts/fontawesome8deb.eot	(from http://www.w3schools.com/stdtheme.css)
19:36:48	5976/5976	---M--	200	added ('OK')	application/font-woff	etag:%22de9326d3c86fd11:0%22	http://www.w3schools.com/lib/fonts/fontawesome.woff?14663396	C:/My%20Web%20Sites/bootstrap/www.w3schools.com/lib/fonts/fontawesome8deb.woff	(from http://www.w3schools.com/stdtheme.css)
